Activity: CLASSIFIED/WALKING
1264518159452:-7.804459,-1.3620348,-0.55843425,99.4375,73.3125,-32.6875,
1264518159502:-8.853226,-0.53119355,-0.0,100.4375,72.0625,-33.6875,
1264518159557:-11.699879,0.8308412,-1.2803127,101.1875,70.8125,-32.9375,
1264518159601:-13.797412,-0.24516626,-1.1168685,101.4375,70.5625,-31.9375,
1264518159652:-10.59663,-4.8760843,1.96133,102.375,71.5625,-31.1875,
1264518159702:-10.528529,-5.3119354,0.6946377,102.125,71.5625,-29.6875,
1264518159751:-14.219643,-2.506144,2.4108016,102.375,69.5625,-28.0,
1264518159801:-9.275456,-1.2666923,1.253072,102.875,69.8125,-29.0,
1264518159852:-5.1621118,-0.7491191,0.27240697,103.125,69.8125,-30.6875,
1264518159901:-3.568531,-0.8036005,0.88532263,103.625,68.5625,-31.9375,
1264518159951:-4.4810944,-0.51757324,1.253072,103.625,69.0625,-31.6875,
1264518160001:-6.9191365,1.4028958,1.0487667,103.875,70.5625,-30.4375,
1264518160061:-13.007432,1.3484144,0.32688835,105.0625,70.5625,-29.0,
1264518160102:-16.42614,1.2394516,-0.10896278,104.375,71.3125,-27.25,
1264518160152:-15.908566,-2.3018389,-0.06810174,104.625,71.0625,-27.25,
1264518160202:-9.915613,-4.780742,1.6344417,105.3125,71.0625,-29.0,
1264518160251:-10.242501,-2.465283,2.73769,105.0625,70.3125,-30.4375,
1264518160301:-10.351464,-4.8897047,0.58567494,104.375,71.3125,-32.6875,
1264518160351:-7.600154,-2.0294318,0.81722087,102.375,73.0625,-33.6875,
1264518160401:-6.1291566,-1.0760075,0.7218784,101.1875,72.3125,-34.375,
1264518160451:-5.3936577,-1.5527196,0.3677494,101.1875,71.8125,-35.625,
1264518160502:-6.101916,-1.3892754,-0.23154591,100.6875,72.0625,-35.625,
1264518160551:-7.2187843,-1.525479,-0.8308412,100.9375,68.0625,-36.625,
1264518160694:-15.227549,-2.2609777,0.6401563,101.4375,68.0625,-36.625,
1264518160697:-15.227549,-2.2609777,0.6401563,101.4375,68.0625,-36.625,
1264518160701:-15.227549,-2.2609777,0.6401563,101.4375,68.0625,-36.625,
1264518160752:-9.956474,-3.840938,3.405087,103.125,68.8125,-36.375,
1264518160802:-12.598822,-5.298315,0.32688835,103.875,69.3125,-34.875,
1264518160858:-13.756551,-2.9283748,2.5333846,105.0625,69.3125,-32.6875,
1264518160901:-8.962189,-1.6344417,0.9942854,105.5625,68.0625,-34.125,
1264518160951:-4.399372,-1.4709976,0.54481393,104.625,68.8125,-35.875,
1264518161001:-3.050958,-1.4573772,0.58567494,105.0625,68.5625,-35.875,
1264518161051:-4.5491962,0.19068487,0.6537767,105.0625,67.8125,-35.375,
1264518161101:-6.7965536,1.3484144,0.87170225,105.5625,69.3125,-33.4375,
1264518161151:-12.993812,1.920469,1.253072,107.3125,70.3125,-30.4375,
1264518161201:-16.303556,0.53119355,0.14982383,106.8125,71.0625,-29.5,
1264518161251:-14.09706,-4.7535014,0.20430522,105.5625,71.0625,-29.0,
1264518161301:-10.746454,-4.971427,1.4709976,105.5625,70.3125,-30.1875,
1264518161351:-11.34575,-4.0588636,1.525479,104.125,70.5625,-32.9375,
1264518161401:-8.989429,-4.930566,0.88532263,103.375,70.8125,-35.125,
1264518161451:-6.4560447,-2.1111538,0.47671217,101.625,71.3125,-35.125,
1264518161501:-5.7477865,-2.070293,0.10896278,101.1875,71.5625,-35.875,
1264518161552:-5.8976107,-1.2803127,-0.05448139,101.4375,71.5625,-38.125,
1264518161601:-6.7284517,-0.51757324,-0.23154591,101.4375,71.3125,-38.5625,
1264518161651:-7.572913,-1.293933,-1.2666923,100.9375,70.8125,-38.5625,
1264518161701:-7.84532,-1.7706453,-0.05448139,100.6875,70.0625,-38.5625,
1264518161752:-9.956474,0.8036005,-1.9068487,101.1875,69.3125,-39.3125,
1264518161802:-15.431854,-2.1656353,0.13620348,102.625,68.5625,-37.375,
1264518161852:-11.849703,-3.405087,4.426613,103.875,68.3125,-36.375,
1264518161902:-11.631777,-4.971427,0.5720546,104.8125,69.3125,-34.875,
1264518161952:-15.649779,-3.4595683,1.6208214,105.8125,68.5625,-31.6875,
1264518162001:-9.043911,-1.525479,0.51757324,105.5625,68.0625,-33.6875,
1264518162051:-3.1054392,-1.253072,0.6810174,104.8125,68.8125,-36.125,
1264518162101:-2.6151068,-1.3620348,0.9125633,105.3125,68.3125,-35.875,
1264518162151:-5.0259085,-0.12258313,0.95342433,105.5625,69.5625,-33.6875,
1264518162201:-6.537767,0.7218784,1.0215261,105.5625,71.3125,-32.4375,
1264518162251:-12.748646,-0.29964766,1.0215261,105.0625,72.0625,-29.25,
1264518162301:-15.935807,0.88532263,-0.9125633,104.8125,72.5625,-27.5,
1264518162352:-14.696355,-3.214402,0.81722087,104.125,73.3125,-28.25,
1264518162401:-12.013146,-8.499097,0.53119355,104.375,73.0625,-28.25,
1264518162452:-8.3765135,-1.7706453,2.192876,104.625,73.5625,-31.6875,
1264518162502:-10.133538,-3.9771416,0.980665,103.125,73.3125,-32.9375,
1264518162552:-8.090487,-2.6287272,0.47671217,103.375,74.3125,-33.6875,
1264518162602:-6.578628,-1.6208214,0.43585113,103.125,74.5625,-34.875,
1264518162651:-5.47538,-2.0975335,0.10896278,101.875,74.8125,-35.625,
